Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Phase
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2022-01-11,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
SHIVSENA (POLITICAL PARTY),2022-01-11,40000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
AAM AADMI PARTY,2022-01-12,2500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2022-01-12,937500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
GOA FORWARD PARTY,2022-01-12,3500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-12,508700000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ADYAKSHA SAMAJVADI PARTY,2022-01-13,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-13,600000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2022-01-13,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-13,275000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
AAM AADMI PARTY,2022-01-14,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-14,510000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2022-01-14,1755000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
SHIROMANI AKALI DAL,2022-01-14,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-15,60000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2022-01-15,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
ALL INDIA TRINAMOOL CONGRESS,2022-01-17,56000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARTIYA JANTA PARTY,2022-01-17,1075000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
AAM AADMI PARTY,2022-01-18,4500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARTIYA JANTA PARTY,2022-01-18,205000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
MAHARASHTRAWADI GOMNTAK PARTY,2022-01-18,5500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-18,27000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BIJU JANATA DAL,2022-01-20,100000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-20,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
AAM AADMI PARTY,2022-01-21,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
ALL INDIA TRINAMOOL CONGRESS,2022-01-21,4000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARTIYA JANTA PARTY,2022-01-21,137000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
ALL INDIA TRINAMOOL CONGRESS,2022-01-24,32000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARAT RASHTRA SAMITHI,2022-04-06,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-04-08,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka","November 12, 2022 to May 10, 2023",
BHARAT RASHTRA SAMITHI,2022-04-11,920000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana","November 7, 2023 to November 30, 2023",
BIJU JANATA DAL,2022-04-11,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,Lok Sabha 2024,"April 19 2024 to June 1, 2024",
DMK PARTY IN PARLIAMENT,2022-04-11,1000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-04-12,2680000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-04-12,430000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-04-13,9870000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-04-13,80000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-04-18,555000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,20.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-04-18,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,20.0
ALL INDIA TRINAMOOL CONGRESS,2022-04-19,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,20.0
BIJU JANATA DAL,2022-07-04,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-07-05,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2022-07-05,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-07-06,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BIJU JANATA DAL,2022-07-06,450000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-06,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
DMK PARTY IN PARLIAMENT,2022-07-08,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-07-11,190000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-07-11,75000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BIJU JANATA DAL,2022-07-11,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
DMK PARTY IN PARLIAMENT,2022-07-11,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-11,350000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2022-07-11,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-07-12,445000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-07-12,125000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-12,5000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-07-13,80000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BIJU JANATA DAL,2022-07-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-07-14,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-07-16,125000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,21.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-19,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,21.0
AAM AADMI PARTY,2022-10-10,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-10-10,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-10,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-10-11,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2022-10-11,300000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-10-11,790000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BIJU JANATA DAL,2022-10-11,350000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-10-12,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-10-12,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
DMK PARTY IN PARLIAMENT,2022-10-12,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-12,52000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-10-13,300000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
SIKKIM KRANTIKARI MORCHA,2022-10-13,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2022-10-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-10-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-10-14,76000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-10-14,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-14,130000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-10-15,69500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
ALL INDIA TRINAMOOL CONGRESS,2022-10-15,331000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
BHARTIYA JANTA PARTY,2022-10-15,1000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
BHARTIYA JANTA PARTY,2022-10-18,125000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-18,40000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
AAM AADMI PARTY,2022-10-20,64000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
JANASENA PARTY,2022-10-20,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
AAM AADMI PARTY,2022-10-21,5000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
BHARTIYA JANTA PARTY,2022-10-21,310000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,22.0
AAM AADMI PARTY,2022-11-14,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-11-14,2000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-14,4000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-11-16,2017500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-16,170000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-17,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-11-18,1875999000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-18,103100000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-11-18,120000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-11-19,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-11-21,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-11-21,135000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-22,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-23,22000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,23.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-11-23,40000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,23.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-24,15000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,23.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-28,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,23.0
AAM AADMI PARTY,2022-12-09,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-12-12,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-12-13,80000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-12-14,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-12-14,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-12-14,1090000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-12-15,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-12-15,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-12-16,31000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2022-12-16,490000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-12-16,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
AAM AADMI PARTY,2022-12-17,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-12-19,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,24.0
BHARTIYA JANTA PARTY,2022-12-19,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,24.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-12-20,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,24.0
TELUGU DESAM PARTY,2023-01-24,60000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2023-01-27,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-01-27,9100000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2023-01-30,405000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2023-01-30,1000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2023-01-31,500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2023-01-31,130000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2023-02-01,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2023-02-01,370000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BIJU JANATA DAL,2023-02-01,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
JHARKHAND MUKTI MORCHA,2023-02-01,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2023-02-01,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
SIKKIM KRANTIKARI MORCHA,2023-02-02,25000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,25.0
BHARTIYA JANTA PARTY,2023-02-04,216000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,25.0
BHARTIYA JANTA PARTY,2023-02-07,342000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,25.0
SIKKIM KRANTIKARI MORCHA,2023-02-07,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,25.0
BHARAT RASHTRA SAMITHI,2023-04-06,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-06,60000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
DMK PARTY IN PARLIAMENT,2023-04-10,400000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-10,722500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-11,130000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2023-04-11,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2023-04-11,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARTIYA JANTA PARTY,2023-04-12,1770000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
ALL INDIA TRINAMOOL CONGRESS,2023-04-13,702000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2023-04-13,300000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
JHARKHAND MUKTI MORCHA,2023-04-13,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2023-04-13,15000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-13,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
TELUGU DESAM PARTY,2023-04-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BHARAT RASHTRA SAMITHI,2023-04-15,151000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
BIJU JANATA DAL,2023-04-15,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",,,,,
